rsi_length,rsi_overbought,rsi_oversold,sl_multiplier,tp_multiplier,total_pnl,max_drawdown,total_trades,profitable_trades,profitable_pct,profit_factor,final_equity
7,60.0,40.0,1.5,1.3,-12.1841,12.18,20,4,20.0,0.0641,87.82
7,60.0,40.0,1.5,1.4,-11.6944,11.77,20,6,30.0,0.0858,88.31
7,60.0,40.0,1.5,1.5,-15.1965,15.22,25,7,28.0,0.0863,84.8
7,60.0,40.0,1.5,1.6,-16.1525,16.22,30,10,33.33,0.1017,83.85
7,60.0,40.0,1.5,1.7,-16.7177,16.82,33,10,30.3,0.1204,83.28
7,60.0,40.0,1.5,1.8,-23.882,24.02,41,10,24.39,0.09,76.12
7,60.0,40.0,1.5,1.9,-28.1244,28.3,45,10,22.22,0.0905,71.88
7,60.0,40.0,1.5,2.0,-31.1899,31.41,51,10,19.61,0.094,68.81
7,60.0,40.0,1.5,2.1,-30.9233,31.05,54,13,24.07,0.107,69.08
7,60.0,40.0,1.5,2.2,-35.5729,35.75,61,14,22.95,0.1063,64.43
7,60.0,40.0,1.5,2.3,-37.3936,37.63,64,15,23.44,0.1135,62.61
7,60.0,40.0,1.5,2.4,-40.2848,40.58,71,16,22.54,0.1176,59.72
7,60.0,40.0,1.5,2.5,-39.9008,40.26,74,17,22.97,0.1303,60.1
8,60.0,40.0,0.1,1.0,-3.1759,3.18,11,2,18.18,0.1824,96.82
8,60.0,40.0,0.1,1.1,-4.1389,4.14,14,4,28.57,0.1857,95.86
8,60.0,40.0,0.1,1.2,-6.3626,6.36,20,4,20.0,0.162,93.64
8,60.0,40.0,0.1,1.3,-7.8173,7.82,24,4,16.67,0.1624,92.18
8,60.0,40.0,0.1,1.4,-7.349,7.35,24,6,25.0,0.1994,92.65
8,60.0,40.0,0.1,1.5,-9.8994,9.9,30,6,20.0,0.1816,90.1
8,60.0,40.0,0.1,1.6,-11.3955,11.4,35,8,22.86,0.1856,88.6
8,60.0,40.0,0.1,1.7,-13.6567,13.66,39,7,17.95,0.165,86.34
8,60.0,40.0,0.1,1.8,-17.1782,17.18,46,8,17.39,0.1525,82.82
8,60.0,40.0,0.1,1.9,-17.8022,17.8,48,8,16.67,0.1646,82.2
8,60.0,40.0,0.1,2.0,-22.1271,22.13,57,8,14.04,0.1506,77.87
8,60.0,40.0,0.1,2.1,-23.0025,23.0,61,9,14.75,0.1587,77.0
8,60.0,40.0,0.1,2.2,-25.5471,25.55,68,10,14.71,0.1583,74.45
8,60.0,40.0,0.1,2.3,-25.6411,25.64,70,10,14.29,0.1706,74.36
8,60.0,40.0,0.1,2.4,-27.6949,27.69,77,11,14.29,0.1721,72.31
8,60.0,40.0,0.1,2.5,-31.2172,31.22,83,10,12.05,0.1618,68.78
8,60.0,40.0,0.2,1.0,-3.5691,3.57,11,2,18.18,0.1657,96.43
8,60.0,40.0,0.2,1.1,-4.6088,4.61,14,4,28.57,0.17,95.39
8,60.0,40.0,0.2,1.2,-6.973,6.97,20,4,20.0,0.15,93.03
8,60.0,40.0,0.2,1.3,-8.5217,8.52,24,4,16.67,0.151,91.48
8,60.0,40.0,0.2,1.4,-8.0535,8.05,24,6,25.0,0.1852,91.95
8,60.0,40.0,0.2,1.5,-10.7408,10.74,30,6,20.0,0.1698,89.26
8,60.0,40.0,0.2,1.6,-13.2537,13.25,35,7,20.0,0.1486,86.75
8,60.0,40.0,0.2,1.7,-13.6374,13.64,38,7,18.42,0.1652,86.36
8,60.0,40.0,0.2,1.8,-17.3257,17.33,45,8,17.78,0.1514,82.67
8,60.0,40.0,0.2,1.9,-18.5547,18.55,47,8,17.02,0.159,81.45
8,60.0,40.0,0.2,2.0,-22.4414,22.44,56,8,14.29,0.1488,77.56
8,60.0,40.0,0.2,2.1,-23.331,23.33,60,9,15.0,0.1569,76.67
8,60.0,40.0,0.2,2.2,-25.9444,25.94,67,10,14.93,0.1563,74.06
8,60.0,40.0,0.2,2.3,-26.0319,26.03,69,11,15.94,0.1688,73.97
8,60.0,40.0,0.2,2.4,-28.934,28.93,76,11,14.47,0.1623,71.07
8,60.0,40.0,0.2,2.5,-34.8341,34.83,82,10,12.2,0.0982,65.17
8,60.0,40.0,0.3,1.0,-3.9624,3.96,11,2,18.18,0.1518,96.04
8,60.0,40.0,0.3,1.1,-5.0787,5.08,14,4,28.57,0.1568,94.92
8,60.0,40.0,0.3,1.2,-7.5834,7.58,20,4,20.0,0.1396,92.42
8,60.0,40.0,0.3,1.3,-9.2262,9.23,24,4,16.67,0.1411,90.77
8,60.0,40.0,0.3,1.4,-8.7579,8.76,24,6,25.0,0.1729,91.24
8,60.0,40.0,0.3,1.5,-12.5199,12.52,30,5,16.67,0.1357,87.48
8,60.0,40.0,0.3,1.6,-14.226,14.23,35,7,20.0,0.1399,85.77
8,60.0,40.0,0.3,1.7,-14.6333,14.63,38,7,18.42,0.1557,85.37
8,60.0,40.0,0.3,1.8,-19.0985,19.1,45,8,17.78,0.1393,80.9
8,60.0,40.0,0.3,1.9,-19.8137,19.81,47,8,17.02,0.1504,80.19
8,60.0,40.0,0.3,2.0,-23.8444,23.84,56,8,14.29,0.1413,76.16
8,60.0,40.0,0.3,2.1,-24.7727,24.77,60,9,15.0,0.1491,75.23
8,60.0,40.0,0.3,2.2,-27.4794,27.48,67,10,14.93,0.1489,72.52
8,60.0,40.0,0.3,2.3,-28.3889,28.39,69,10,14.49,0.153,71.61
8,60.0,40.0,0.3,2.4,-33.6638,33.66,76,10,13.16,0.0922,66.34
8,60.0,40.0,0.3,2.5,-36.6996,36.7,82,10,12.2,0.0936,63.3
8,60.0,40.0,0.4,1.0,-4.3556,4.36,11,2,18.18,0.14,95.64
8,60.0,40.0,0.4,1.1,-5.5486,5.55,14,4,28.57,0.1454,94.45
8,60.0,40.0,0.4,1.2,-8.1939,8.19,20,4,20.0,0.1306,91.81
8,60.0,40.0,0.4,1.3,-9.9306,9.93,24,4,16.67,0.1325,90.07
8,60.0,40.0,0.4,1.4,-10.4001,10.4,24,5,20.83,0.137,89.6
8,60.0,40.0,0.4,1.5,-13.4133,13.41,30,5,16.67,0.1278,86.59
8,60.0,40.0,0.4,1.6,-15.1984,15.2,35,7,20.0,0.1321,84.8
8,60.0,40.0,0.4,1.7,-16.2148,16.21,38,7,18.42,0.1427,83.79
8,60.0,40.0,0.4,1.8,-20.3136,20.31,45,8,17.78,0.1321,79.69
8,60.0,40.0,0.4,1.9,-21.0728,21.07,47,8,17.02,0.1427,78.93
8,60.0,40.0,0.4,2.0,-25.2473,25.25,56,8,14.29,0.1345,74.75
8,60.0,40.0,0.4,2.1,-26.2144,26.21,60,9,15.0,0.1421,73.79
8,60.0,40.0,0.4,2.2,-29.8185,29.82,67,9,13.43,0.1356,70.18
8,60.0,40.0,0.4,2.3,-33.0502,33.05,69,9,13.04,0.0846,66.95
8,60.0,40.0,0.4,2.4,-35.4309,35.43,76,10,13.16,0.088,64.57
8,60.0,40.0,0.4,2.5,-38.0749,38.07,81,10,12.35,0.0905,61.93
8,60.0,40.0,0.5,1.0,-4.7488,4.75,11,2,18.18,0.1299,95.25
8,60.0,40.0,0.5,1.1,-6.0185,6.02,14,4,28.57,0.1356,93.98
8,60.0,40.0,0.5,1.2,-8.8043,8.8,20,4,20.0,0.1226,91.2
8,60.0,40.0,0.5,1.3,-11.5728,11.57,24,3,12.5,0.1072,88.43
8,60.0,40.0,0.5,1.4,-11.1566,11.16,24,5,20.83,0.129,88.84
8,60.0,40.0,0.5,1.5,-14.3068,14.31,30,5,16.67,0.1208,85.69
8,60.0,40.0,0.5,1.6,-16.7564,16.76,35,7,20.0,0.1214,83.24
8,60.0,40.0,0.5,1.7,-17.2386,17.24,38,7,18.42,0.1354,82.76
8,60.0,40.0,0.5,1.8,-21.5288,21.53,45,8,17.78,0.1256,78.47
8,60.0,40.0,0.5,1.9,-22.3318,22.33,47,8,17.02,0.1358,77.67
8,60.0,40.0,0.5,2.0,-25.4736,25.47,55,8,14.55,0.1335,74.53
8,60.0,40.0,0.5,2.1,-27.2626,27.26,59,8,13.56,0.1346,72.74
8,60.0,40.0,0.5,2.2,-33.2438,33.24,66,8,12.12,0.0756,66.76
8,60.0,40.0,0.5,2.3,-33.5091,33.51,68,9,13.24,0.0836,66.49
8,60.0,40.0,0.5,2.4,-36.5389,36.54,75,10,13.33,0.0856,63.46
8,60.0,40.0,0.5,2.5,-39.1041,39.1,79,9,11.39,0.0717,60.9
8,60.0,40.0,0.6,1.0,-5.1421,5.14,11,2,18.18,0.1212,94.86
8,60.0,40.0,0.6,1.1,-6.4885,6.49,14,4,28.57,0.1271,93.51
8,60.0,40.0,0.6,1.2,-8.9664,8.97,19,3,15.79,0.1142,91.03
8,60.0,40.0,0.6,1.3,-10.9085,10.91,23,3,13.04,0.113,89.09
8,60.0,40.0,0.6,1.4,-10.4575,10.46,23,5,21.74,0.1364,89.54
8,60.0,40.0,0.6,1.5,-14.2953,14.3,29,5,17.24,0.1209,85.7
8,60.0,40.0,0.6,1.6,-16.2314,16.23,34,8,23.53,0.1251,83.77
8,60.0,40.0,0.6,1.7,-16.7024,16.7,37,8,21.62,0.141,83.3
8,60.0,40.0,0.6,1.8,-21.149,21.15,44,9,20.45,0.1303,78.85
8,60.0,40.0,0.6,1.9,-21.9611,21.96,46,9,19.57,0.1415,78.04
8,60.0,40.0,0.6,2.0,-25.8445,25.84,53,8,15.09,0.1341,74.16
8,60.0,40.0,0.6,2.1,-28.7744,28.77,56,8,14.29,0.0823,71.23
8,60.0,40.0,0.6,2.2,-33.586,33.59,64,8,12.5,0.0749,66.41
8,60.0,40.0,0.6,2.3,-34.4722,34.47,66,9,13.64,0.0814,65.53
8,60.0,40.0,0.6,2.4,-38.0615,38.06,73,9,12.33,0.0663,61.94
8,60.0,40.0,0.6,2.5,-39.6681,39.67,77,9,11.69,0.0707,60.33
8,60.0,40.0,0.7,1.0,-5.5353,5.54,11,2,18.18,0.1136,94.46
8,60.0,40.0,0.7,1.1,-7.8959,7.9,14,3,21.43,0.1045,92.1
8,60.0,40.0,0.7,1.2,-9.5592,9.56,19,3,15.79,0.1079,90.44
8,60.0,40.0,0.7,1.3,-11.5954,11.6,23,3,13.04,0.107,88.4
8,60.0,40.0,0.7,1.4,-11.1443,11.14,23,5,21.74,0.1291,88.86
8,60.0,40.0,0.7,1.5,-15.1469,15.15,29,5,17.24,0.1149,84.85
8,60.0,40.0,0.7,1.6,-17.162,17.16,34,8,23.53,0.1192,82.84
8,60.0,40.0,0.7,1.7,-17.6565,17.66,37,8,21.62,0.1344,82.34
8,60.0,40.0,0.7,1.8,-22.2945,22.29,44,9,20.45,0.1244,77.71
8,60.0,40.0,0.7,1.9,-23.9546,23.95,46,8,17.39,0.1301,76.05
8,60.0,40.0,0.7,2.0,-30.2455,30.25,53,7,13.21,0.0699,69.75
8,60.0,40.0,0.7,2.1,-30.2112,30.21,56,8,14.29,0.0786,69.79
8,60.0,40.0,0.7,2.2,-35.787,35.79,64,8,12.5,0.0706,64.21
8,60.0,40.0,0.7,2.3,-37.696,37.7,66,8,12.12,0.0596,62.3
8,60.0,40.0,0.7,2.4,-40.3613,40.36,73,9,12.33,0.0627,59.64
8,60.0,40.0,0.7,2.5,-41.4616,41.46,77,9,11.69,0.0679,58.54
8,60.0,40.0,0.8,1.0,-6.8661,6.87,11,2,18.18,0.0937,93.13
8,60.0,40.0,0.8,1.1,-8.4179,8.42,14,3,21.43,0.0987,91.58
8,60.0,40.0,0.8,1.2,-10.152,10.15,19,3,15.79,0.1022,89.85
8,60.0,40.0,0.8,1.3,-12.2822,12.28,23,3,13.04,0.1016,87.72
8,60.0,40.0,0.8,1.4,-11.8311,11.83,23,5,21.74,0.1226,88.17
8,60.0,40.0,0.8,1.5,-15.9986,16.0,29,5,17.24,0.1095,84.0
8,60.0,40.0,0.8,1.6,-18.0925,18.09,34,8,23.53,0.1138,81.91
8,60.0,40.0,0.8,1.7,-18.6106,18.61,37,8,21.62,0.1284,81.39
8,60.0,40.0,0.8,1.8,-24.2441,24.24,44,8,18.18,0.1154,75.76
8,60.0,40.0,0.8,1.9,-28.2538,28.25,46,7,15.22,0.065,71.75
8,60.0,40.0,0.8,2.0,-30.3972,30.4,52,7,13.46,0.0695,69.6
8,60.0,40.0,0.8,2.1,-30.9436,30.94,55,8,14.55,0.0769,69.06
8,60.0,40.0,0.8,2.2,-35.7933,35.79,62,8,12.9,0.0609,64.21
8,60.0,40.0,0.8,2.3,-36.6894,36.69,64,9,14.06,0.0671,63.31
8,60.0,40.0,0.8,2.4,-38.8121,38.81,71,10,14.08,0.0715,61.19
8,60.0,40.0,0.8,2.5,-39.8898,39.89,75,10,13.33,0.0773,60.11
8,60.0,40.0,0.9,1.0,-5.2819,5.28,10,2,20.0,0.1184,94.72
8,60.0,40.0,0.9,1.1,-6.8575,6.89,13,4,30.77,0.1221,93.14
8,60.0,40.0,0.9,1.2,-8.6097,8.69,18,4,22.22,0.1259,91.39
